,,MR_ADD,MR_MUL,MR_PER,MR_INC,MR_EXC,MR_INV,,FM_1,FM_2,FM_3,FM_4,FM_5,FM_6,FM_7,FM_8,FM_9,FM_10,FM_11,FM_12,FM_13,FM_14,FM_15,FM_16,FM_17,FM_18,FM_19,FM_20,FM_21,FM_22,FM_23,FM_24,FM_25,FM_26,FM_27,FM_28,FM_29,FM_30,FM_31,FM_32,FM_33,FM_34,FM_35,FM_36,FM_37,FM_38,FM_39,FM_40,FM_41,FM_42,FM_43,FM_44,FM_45,FM_46,FM_47,FM_48,FM_49,FM_50,FM_51,FM_52,FM_53,FM_54,FM_55,FM_56,FM_57,FM_58,FM_59,FM_60,FM_61,FM_62,FM_63,FM_64,FM_65,FM_66,FM_67,FM_68,FM_69,FM_70,FM_71,FM_72,FM_73,FM_74,FM_75,FM_76,FM_77,FM_78,FM_79
56,find_max,1,1,1,1,1,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/find_max,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0.857142857142858,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,min,1,1,1,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,insertion_sort,1,1,1,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/insertion_sort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,equals,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/equals,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,1,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
60,pooledMean,1,1,1,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/pooledMean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,dec_array,1,1,0,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/dec_array,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
62,sumOfPowerOfDeviations,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/sumOfPowerOfDeviations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,geometric_mean,1,1,1,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/geometric_mean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,sum,1,1,1,1,1,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/sum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
65,sequential_search,0,0,0,1,1,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/sequential_search,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,ebeMultiply,1,1,0,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/ebeMultiply,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,elementwise_not_equal,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/elementwise_not_equal,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,count_non_zeroes,1,1,1,1,1,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/count_non_zeroes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857142858,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
69,set_min_val,1,1,0,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/set_min_val,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,sampleVariance,1,1,1,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/sampleVariance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,shell_sort,1,1,1,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/shell_sort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,covariance,1,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/covariance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,dot_product,1,1,0,1,1,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/dot_product,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74,square,1,1,0,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/square,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,find_max2,1,1,0,1,1,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/find_max2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76,chiSquate,0,1,0,0,0,1,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/chiSquate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999999999996,0,0,0
77,errorRate,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/errorRate,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,binarySearchFromTo,0,0,0,1,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/binarySearchFromTo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999999999998,0
79,tanimotoDistance,0,0,0,0,0,0,/home/zxd/Downloads/RENE-PredictingMetamorphicRelations-main/Methods/Methods-C++/C++dotnew/tanimotoDistance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
